Sample	CEU	YRI
Sample_417	0.221264	0.778736
Sample_418	0.211963	0.788037
Sample_419	0.133820	0.866180
Sample_42	0.202374	0.797626
Sample_420	0.276971	0.723029
Sample_421	0.191032	0.808968
Sample_422	0.231074	0.768926
Sample_423	0.232159	0.767841
Sample_424	0.189059	0.810941
Sample_425	0.217163	0.782837
Sample_426	0.240447	0.759553
Sample_427	0.208424	0.791576
Sample_428	0.180477	0.819523
Sample_429	0.211406	0.788594
Sample_43	0.215132	0.784868
Sample_430	0.209898	0.790102
Sample_431	0.182973	0.817027
Sample_432	0.183803	0.816197
Sample_433	0.183990	0.816010
Sample_434	0.210693	0.789307
Sample_435	0.158690	0.841310
Sample_436	0.178358	0.821642
Sample_437	0.190296	0.809704
Sample_438	0.176278	0.823722
Sample_439	0.236943	0.763057
Sample_44	0.176343	0.823657
Sample_440	0.235098	0.764902
Sample_441	0.180372	0.819628
Sample_442	0.212069	0.787931
Sample_443	0.178671	0.821329
Sample_444	0.212621	0.787379
Sample_445	0.196388	0.803612
Sample_446	0.163239	0.836761
Sample_447	0.210418	0.789582
Sample_448	0.178419	0.821581
Sample_449	0.185647	0.814353
Sample_45	0.180263	0.819737
Sample_450	0.215944	0.784056
Sample_451	0.207622	0.792378
Sample_452	0.231073	0.768927
Sample_453	0.213819	0.786181
Sample_454	0.224895	0.775105
Sample_455	0.204264	0.795736
Sample_456	0.155153	0.844847
Sample_457	0.183749	0.816251
Sample_458	0.220503	0.779497
Sample_459	0.208522	0.791478
Sample_46	0.221142	0.778858
Sample_460	0.191630	0.808370
Sample_461	0.179927	0.820073
Sample_462	0.218855	0.781145
Sample_463	0.184168	0.815832
Sample_464	0.207369	0.792631
Sample_465	0.198657	0.801343
Sample_466	0.142381	0.857619
Sample_467	0.180830	0.819170
Sample_468	0.228832	0.771168
Sample_469	0.184697	0.815303
Sample_47	0.246879	0.753121
Sample_470	0.165280	0.834720
Sample_471	0.176684	0.823316
Sample_472	0.230069	0.769931
Sample_473	0.164979	0.835021
Sample_474	0.204477	0.795523
Sample_475	0.229387	0.770613
Sample_476	0.176412	0.823588
Sample_477	0.228713	0.771287
Sample_478	0.168813	0.831187
Sample_479	0.224749	0.775251
Sample_48	0.287914	0.712086
Sample_480	0.180819	0.819181
Sample_481	0.208475	0.791525
Sample_482	0.201614	0.798386
Sample_483	0.200329	0.799671
Sample_484	0.226094	0.773906
Sample_485	0.234744	0.765256
Sample_486	0.215838	0.784162
Sample_487	0.192002	0.807998
Sample_488	0.222658	0.777342
Sample_489	0.188401	0.811599
Sample_49	0.190179	0.809821
Sample_490	0.193945	0.806055
Sample_491	0.253512	0.746488
Sample_492	0.206049	0.793951
Sample_493	0.175450	0.824550
Sample_494	0.222543	0.777457
Sample_495	0.211101	0.788899
Sample_496	0.134358	0.865642
Sample_497	0.202862	0.797138
Sample_498	0.210720	0.789280
Sample_499	0.245097	0.754903
Sample_5	0.198935	0.801065
Sample_50	0.156297	0.843703
Sample_500	0.203372	0.796628
Sample_51	0.212586	0.787414
Sample_52	0.211373	0.788627
Sample_53	0.243989	0.756011
Sample_54	0.210091	0.789909
Sample_55	0.236735	0.763265
Sample_56	0.206843	0.793157
Sample_57	0.170045	0.829955
Sample_58	0.185882	0.814118
Sample_59	0.213076	0.786924
Sample_6	0.206493	0.793507
Sample_60	0.182352	0.817648
Sample_61	0.182418	0.817582
Sample_62	0.202742	0.797258
Sample_63	0.142968	0.857032
Sample_64	0.204743	0.795257
Sample_65	0.265876	0.734124
Sample_66	0.193463	0.806537
Sample_67	0.252565	0.747435
Sample_68	0.169376	0.830624
Sample_69	0.196476	0.803524
Sample_7	0.243231	0.756769
Sample_70	0.195300	0.804700
Sample_71	0.208086	0.791914
Sample_72	0.284782	0.715218
Sample_73	0.229153	0.770847
Sample_74	0.211604	0.788396
Sample_75	0.205073	0.794927
Sample_76	0.182882	0.817118
Sample_77	0.206380	0.793620
Sample_78	0.224249	0.775751
Sample_79	0.191165	0.808835
Sample_8	0.159364	0.840636
Sample_80	0.186713	0.813287
Sample_81	0.191258	0.808742
Sample_82	0.215737	0.784263
Sample_83	0.197879	0.802121
Sample_84	0.166906	0.833094
Sample_85	0.192955	0.807045
Sample_86	0.212833	0.787167
Sample_87	0.201358	0.798642
Sample_88	0.185075	0.814925
Sample_89	0.224297	0.775703
Sample_9	0.197346	0.802654
Sample_90	0.250863	0.749137
Sample_91	0.184955	0.815045
Sample_92	0.182335	0.817665
Sample_93	0.176585	0.823415
Sample_94	0.187552	0.812448
Sample_95	0.178866	0.821134
Sample_96	0.211825	0.788175
Sample_97	0.171468	0.828532
Sample_98	0.194167	0.805833
Sample_99	0.202094	0.797906
