Sample	EUR	PUR	AFR
Sample_68	0.2635942727272727	0.008677863636363636	0.7277279090909091
Sample_69	0.30491609090909094	0.009431363636363635	0.6856525454545455
Sample_7	0.3624114090909091	0.0003575454545454545	0.6372310909090909
Sample_70	0.3819444090909091	0.007755727272727273	0.6102998636363637
Sample_71	0.35409304545454545	0.020833363636363636	0.6250735454545455
Sample_72	0.4436454090909091	0.017928318181818184	0.5384262272727273
Sample_73	0.4013673181818182	0.016718045454545458	0.5819146818181818
Sample_74	0.37312959090909087	0.006078772727272727	0.620791590909091
Sample_75	0.3546541818181818	0.004995727272727273	0.6403500909090909
Sample_76	0.31745686363636366	0.0005606363636363636	0.6819825
Sample_77	0.3325047272727273	0.006261363636363637	0.6612339545454545
Sample_78	0.3235909090909091	0.022269636363636363	0.6541394090909091
Sample_79	0.33533604545454543	0.011564727272727272	0.6530991818181818
Sample_8	0.30451090909090905	0.005934636363636364	0.6895545454545454
Sample_80	0.2614561818181818	0.01820681818181818	0.7203370454545455
Sample_81	0.3072119090909091	0.007483363636363636	0.6853046818181818
Sample_82	0.3733524090909091	0.013591181818181818	0.6130564090909091
Sample_83	0.34485472727272726	0.0011383181818181817	0.654007
Sample_84	0.2982848181818182	0.002648909090909091	0.6990662272727273
Sample_85	0.3652534090909091	0.003829681818181818	0.6309169545454545
Sample_86	0.3465915	0.005779863636363636	0.6476286363636364
Sample_87	0.3978756363636364	0.005091090909090909	0.5970332727272727
Sample_88	0.31048986363636366	0.005095181818181818	0.6844149545454545
Sample_89	0.35731240909090906	0.003567818181818182	0.6391197727272727
Sample_9	0.3662776818181818	0.019268272727272728	0.6144541363636363
Sample_90	0.37282168181818187	0.014184318181818183	0.612994090909091
Sample_91	0.2966742727272727	0.0043009090909090905	0.6990248181818182
Sample_92	0.3374120909090909	0.013144636363636364	0.6494431818181817
Sample_93	0.29297650000000003	0.011662136363636362	0.6953613636363637
Sample_94	0.31760354545454544	0.0027025909090909093	0.6796938181818182
Sample_95	0.33386272727272726	0.010300272727272727	0.655837
Sample_96	0.36045836363636363	0.0035298636363636365	0.6360117272727273
Sample_97	0.30871631818181816	0.009591454545454545	0.6816922272727273
Sample_98	0.3550460909090909	0.0	0.6449539090909091
Sample_99	0.3076472272727273	0.02011359090909091	0.6722391363636363
